리뷰,평점,긍정부정,리뷰길이
더 써봐야겠지만 나쁘지 않아요,4,y,17
후기가 좋아서 한번 구매해봤어요,4,y,14
일단 하루 써 밧는데 갠 찬네요,4,y,16
두피도 가렵지 않고 좋아요,4,y,17
세정력 나쁘지 않은 것 같네요,4,y,15
생각보다 시원하고 개운해요,4,y,15
두피 각질 제거에 좋다고 해서 구입했는데 효과가 있으면 좋겠네요 이제 처음 사용해서 잘은 모르지만 거품은 잘 나고 가려움증은 완화된 것 같습니다,4,y,86
생각보다 오랜 시간 배송이 늦어져 걱정했는데 드디어 수령하게 되었네요 사용했던 제품이라 타 업체보다 가격이 저렴해서 구입했어요,4,y,75
샴푸가 되게 깔끔합니다,4,y,12
거품도 잘 나고 순해요,4,y,11
지복합성 두피를 잠재워주는 저희 집필수템이에요 하나 구매하는 거보다 두 개 구매하는 저렴하네요,4,y,50
재구매 중이고 두피도 성분도 좋아 꾸준히 사용 중이예요,4,y,26
항상 쓰는 제품입니다 유기농이라온 가족이 함께 씁니다,4,y,28
두피가 건조해지는 것도 같아 요 기름기 제거는 좋아요,4,y,27
재구매입니다 좋아 요 배송도 빠르고,4,y,17
유튜브에서 성분이 좋다고 해서 구매해봤어요 그냥 평범한 느낌이에요 좋지도 싫지도 않은,4,y,48
애벌샴푸하고 두 번째로 감을 때 거품이 잘나요 천연 샴푸라 그런지 머리가 좀 뻣뻣하긴 해요,4,y,47
남편이 좋다고 하네요,4,y,12
일단은 계속 써봅니다,4,n,11
크기 크고 매우 좋네요,4,y,11
두어 번 사용했는데 향기는 좋다고 하고 두피에 좋은지는 더 사용해봐야 알 거 같다고 하네요,4,y,48
지루성 두피염이 심해서 구입했는데 그대로네요 디렉터 파이님 유튜브 보고 지루성 두피염에 좋다고 해서 구매했는데 좀 더 써봐야 효과를 알 수 있겠죠,4,n,83
유튜브 보고 구입했는데 솔직히 유튜브에서 말한 효과들은 잘 모르겠네요,4,n,40
두통째 사용하고 있어 요 오래 써봐야 알 것 같지만 크게 좋아지진 않았지만 좋아질 거라 믿고 써봅니다 이번 배송 왔을 때 샴푸가 새고 있어서 별 하나 뺐어요,4,n,81
가려 운 두피에 좋다고 해서 사 봤어요 세정력은 좋은 거 같아 요근데 머릿결에 좋은 진 모르겠고 향이 좀 별로예요 개인적으로 한방 제품 안 좋아하는데 감고 말리고 나면 한방 샴푸로 감은 향이 좀 나요,4,n,102
온 가족이 다 쓰고 있어 요세정력은 괜찮고 비듬이나 가려움도 없어요 다만 사용 후 머릿결은 좀 뻣뻣해요나이드신 분들보다 청소년 젊은 층이 사용하기 더 좋은 거 같아요,4,y,93
뭐랄까 처음엔 세정력이 좋았는데 안 좋아진 거 같긴 해요 그래도 거품도 잘 나고요 다만 삼푸바닥 쪽에 가까워질수록 펌핑할 때 샴푸가 잘 안 나오더라고요,4,n,85
머리가 가려워 좋은 샴푸 찾다가 구매했어요 아직 번밖에 안 써서 두피 가려움이 있지만 꾸준히 써보려구요 거품이 풍부하게 잘 나고 향은 좋아요,4,y,79
샴푸용량도 크고 적당하네요 샘플도 여러 개 왔고 포장도 잘 돼서 왔어요담에 또 재구매할려고 해요,4,y,56
모로칸 샴푸 쓰다가격이 만만찮아서 바꿨는데 괜찮긴 해도 전모로칸이 더 좋은 거 같네요 거품이 잘 안 나는 거 빼곤 그냥 저냥 쓸 만합니다,4,y,75
배송도 꼼꼼하게 오고 이 샴푸 쓰면 초등 딸아이머리에 냄새가 안나용,4,y,39
세정력 좋고 머리는 뻣뻣하지만 트리트먼트 사용해 요 성분이 좋네요,4,y,35
아이들도 사용할 수 있고 피부에 자극 없는 것 같고 좋아요,4,y,33
향이 좋고 탈모 예방에도 좋을 거 같네요 다음에 또 주문할 게요,4,y,30
싸게 잘 삿 네 여수고 하세여,4,y,12
샴푸를 두 번 해야 거품이 좀 나옵니다 머릿결 좋아지는 건 잘 모르겠는데 두피는 개운합니다,4,y,51
금액 대비해서 괜찮습니다,4,y,12
두피가 가렵지 않아 좋아요,4,y,13
항상 아이와 함께 쓰던 것입니다 샘플도 주셔서 좋네요,4,y,30
어제 주문해서 오늘 받았습니다 배송 빨라서 좋네요,4,y,29
아직 처음 사용이라 잘 모르겠지만 향도 괜찮고 두피 건조함도 괜찮은 듯 단 가격은 비싸요,4,y,48
초반에 사용했을 때랑 성분이 살짝 다른 거가 탕요,4,n,20
많이 첨가되지 않아 모발이 좋은 것 같아요,4,y,22
지성민감성 두피인데 탈 없이 무난해요,4,y,20
제 두피엔 안 맞는 거 같아요,4,n,21
애들이 좋아해서 계속 쓰고 있어요,4,y,18
두 번째 대용량 구매라든든하네요,4,y,17
두피 트러블은 없으나 머릿결이 뻣뻣해 요소용량은 용기가 딱딱해서 불편했는데 대용량은 펌프가 있어서 편해요,4,y,60
공식 판매처라서 신뢰하고 구매,4,y,17
애들이 좋아해서 재구매합니다,4,y,16
좋아요 머리가 덜 빠지길 바라요,4,y,16
두 번째 구매대용량 선택,4,y,16
뭔가 시원해지는 느낌이에요,4,y,15
좋다고 해서 한번 써보려구요,4,y,15
매번 떨어지면 주문합니다,4,y,14
괜찮지만 재구매는 글쎄요,4,n,13
향기가 정말 좋아요 기분 좋아져요,4,y,18
계속 쓰던 거라리필 구매합니다 머릿결이 좋아졌어요,4,y,26
향이 오래 가고 진해서 나름 장점인 것 같아요 다들아는 그 향이라 부담스럽지 않아 요근데 첨에 배송 왔을 때 샴푸 통에 더러운 흙 같은 게 많이 묻어 있더라구 요 뭔가 좀 찝찝했네요,4,y,89
아직은 눈에 보이는 효과를 보지 못하고 있지만 꾸준히 사용 예정입니다 향도 독특하고 호불호가 나뉘겠지만 특유의 향긋한 약품 느낌의 향이 저희 가족한테는 호에 속하는 편이라 약간의 효과라도 있다면 꾸준히 쓰지 않을까 싶어요,4,y,127
두피 염증이 있어서 머리도 빠지고 두피 상태도 안 좋은 사람입니다 세정력이나 거품자극 등 등 다 좋아요 다만 처음에 감았을 때 냄새가 특이하달까 저는 잘 모르겠던데 가족들은 냄새별로라고 하더군 요처음에만 그랬던 거 같기도 하고 어쨌든 두피 상태가 매우 좋아져서 만족합니다,4,y,136
숱이 많아서 다른 샴푸는 두피까지 침투를 잘못하는 데 이거는 두피까지 깨끗하게 씻기는 느낌이에 요 냄새는 솔직히 별로 고폐에 안 좋을 거 같은 느낌이 드는 냄새코를 찔러요 그래도 쓰면서 머리 가려운 건 많이 없어진 것 같 규제대로 안 헹구면 뽀드락지 큰 거나 용 잘 헹구면 아주 좋아용,4,y,148
친구가 비듬 때문에 이 제품 사용하고 비듬이 없어져 이 제품만 사용한 다길래 저도 구매해서 써보고 있는데 머리를 감고 나면 오히려 비듬이 엄청 크게 더 생기네 요 머리 감고 나면 두피는 시원한 데 더 사용해봐야 알겠지만 머리카락은 전보다 들 빠지는 거 같아요,4,y,133
머리가 덜 빠지는 것 같고 감고 나면 볼륨이 조금 살아나는 것 같아서 좋아요 다 만 지성이 아닌데 다음날 기름이 지는 것과 향이 연고향 같아서 그 점이 조금 아쉽습니다 그래도 다른 샴푸보다 효과가 좋아서 꾸준히 이용할 거예요,4,y,120
늘 사용하는 샴푸입니다 두피 브러쉬는 좀 아니네요 그립감이 너무 안 좋아서 마사지 하다가 자꾸 떨어뜨리고 요즘 반려동물용 샤워헤드 잘 만들어졌어요 참고하고 만드셨으면 합니다 저도 전처럼 우리 고양이 샤워 헤드로 두피 마사지합니다,4,y,130
냄새도 생각보다 좋은 향기라서 놀랬고 무엇보다 성분이 자연성분이라 세정력은 떨어질 줄 알았는데 완전 착각이었습니다 세정력도 매우 좋네요 쓴지 아직 며칠 안 됐지만 벌써 머릿결이라던지 모발 건강이 좋아진 느낌입니다,4,y,122
모링가 향이 은은하게 나면서 ᆢ순하다는 느낌이 많이 들었어요 일반 탈모 샴푸는 사용하고 나면 뻣뻣한 느낌이 있었는데 닥터포 헤어 샴푸는 다른 것 같아요 탈모는 아직 잘 모르겟 고조금 더 써봐야 알 듯 요일 단순하고 향이 갠적으론 맘에 드네요,4,y,129
제가 하루라도 머리를 안감으면 머리카락에 기름이 끼는 지 성 두피인데요 샴푸를 해봤는데 세정력이 강한 느낌이라던가 머리카락이 막딱딱해지지도 않아서 음기름 좀 끼겠군 했었는데 생각보다 안 끼어서 넘좋네요 샴푸 갈아타려 구요,4,y,126
남편 이 탈모가 걱정되어 상품평 믿고 시켜봤어요 한 달 뒤에 다시 리뷰 써볼게요,4,y,44
탈모 증상 완화라고 해서 구매했습니다 그런데 제품 박스 임상시험 결과에는 탈모에 대한 내용은 없었습니다게 다가 표본도 명밖에 없어서 신뢰도 안 갑니다 대체 어느 점에서 다른 탈모샴푸와 차별화가 있는지 설명도 없어서 아쉬웠습니다,4,y,131
치약 냄새나 요남편 두피가 건조해지고 비듬이 갑자기 생겨 구입해 봤어뇨쿨링감이 살짝 있다고 하네요,4,y,56
시원하고 괜찮네 요 용량 좋습니다,4,y,17
탈모에 도움이 되서 구매하였고 만족하며 사용 중입니다 기본자 이상 작성시 즉시 지급이미지등록시 즉시 추가 지급 개 당 상품 가격이 원이하 상품은 적립대상에서 제외되며 리뷰 포인트는 최초 회작성시에만 지급됩니다 같은 단어가 반복된 내용은 임의로 삭제되며 지급된 포인트가 회수될 수 있습니다 다른 고객님들에게 유용한 상품 리뷰를 작성해주세요,4,y,209
정말 개운하고 시원해요탈모샴푸 처음 구입하는 거라 여기저기 알아볼 때 어떤 제품은 뻣뻣하다라는 글을 많이 봤었는데 이 제품은 제가 계속 사용하던 센 샴푸보다 머릿결이 더 부드러워 요제발주 사용 후에 효과가 눈에 보였으면 좋겠어요,4,y,134
일단 꼭 샴푸를 하시고 분 정도는 그대로 두셨다가 헹구셔야 합니다 그래야 두피가 시원한 느낌이 들면서 머리카락도 잘 안 빠지는 것 같아요 다른 샴푸 쓸 때보다 확실히 라보에이치 쓰니까 기분 탓인 진 모르겠어도 좋은 느낌은 있습니다,4,y,125
아버지께서 탈모와 지루성 두피를 갖고 계셔서 디파리뷰를 보고 사드렸는데 한 몇 주간은 머리가 덜 빠지신다고 하셨는데 다시 두피에 뭐가 난다고 하더라구 요샴푸에 무슨 문제가 있다기보다 주기적으로 샴푸를 계속 교체해 드려야겠네요,4,y,127
얼마 되지 않아서 탈모에 대한 효과는 아직 잘 모르겠지만 탈모샴푸는 두피가 따가운 경우가 있는데 이 샴푸는 아주 순해서 전혀 걱정 없이 초등 아들이랑 같이 사용해요아들 남편 둘 다 머리에 열이 많아서 땀이 많은데 이 샴푸를 쓴 후로는 가렵지가 않다네요,4,y,142
매일 쓰는 게 아니라 솔직히 잘 모르겠지만 좋다고 하니 쓰고 있어 요저는 컨디션마다 다른 샴푸를 쓰지만 이거 쓸 때는 좀 뿌리가 뻣뻣하다라고 느껴져요 그 느낌이 싫은 게 아니라 좀 튼튼해진 느낌이랄까 이것만 쓰면 좋을 것 같기도 해오,4,y,127
탈모케어는 솔직히 아직 잘 모르겠습니다 염색을 자주 하여 원래 머리가 많이 빠지는 타입인지라 여전히 많이 빠집니다 근데 두피는 진짜 개운해 요 한 달 사용 리뷰지만 한 달 내내 쓴 건 아니라 탈모케어 효과는 조금 더 꾸준히 써봐야 알 수 있을 것 같습니다,4,y,137
거품이 잘 일으켜져서 뭔가 세정이 잘 되는 느낌이예요오늘 처음 사용했는데 제 발 머리 덜 빠지기를 꼭 분뒀다가 헹구려 구요 탈모에 좋은지는 몇 개월 써봐야 알 수 있을 것 같구 요비싼 가격이 아니라 부담 없이 효과 기다리며 꾸준히 사용해보겠습니다,4,y,147
탈모가 심해서 이샴푸저 샴푸 써 보다가타 쇼핑몰에서 화장품 삿는데 샘플로라 보에이치샴푸가 한번 써봣는데 괜츰 그래서 구입비 듬이 생겨서 탈모가 더 심해진 듯 라보에이치는 괜찮을까 하고 구입했는데 아직 확효과는 좀 더 사용해보겠습니다,4,y,124
탈모가 걱정돼서 사봤는데 확실히 덜 자극적이고 감고 나면 다른 샴푸들보다 가벼운 느낌이에요 오래 써보지 못해서 탈모 관련해서 실질적인 효과는 아직 못 느껴봤지만 단기간 사용감에선 만족합니다 향도 은은하고 쿨링감 있어서 좋아요,4,y,127
이라서 개가 올 줄 알았더니 샘플로 용량 채워주는 거였나 보네 요 배송 지연되서 추가로 샘플 주신다더니 짜리가 개예요셀 에너지가 개폴리젠이 개뭐가 뭔지를 모르겠네요 지금은 같은 구성 판매도 안 해서 확인도 불가고,4,y,139
어성초 천연 샴푸를 쓰다가 이통을 통비웠어요 음탈모 개선은 잘 모르겠어요제가 스트레스 받으면 머리가 비워졌다가 그래서 완전 초초초지성인데 전날 시에 감으면 다음날 저녁쯤엔 머리가 기름져 있어요 이전에 어성초 샴푸 썼던 것보다 빨리 기름지는 거 같아요 여름 되면 다시 어성초로 바꿔야 할 거 같아요,4,y,172
이 제품 사용한 지달쯤 된 거 같은데 처음에는 효과가 확실히 있는 것 같은데 요즘은 잘 모르겠어요 처음에는 머리감을 때 빠지는 양이 확실히 줄었었는데 요즘은 다시 많이 빠지는 것 같아요 스트레스의 영향일 수도 있지만 샴푸 효과를 잘못 보는 것 같네요 아쉽지만 잘 쓰고 있습니다,4,y,151
아주 크리미한 제형이라 첨에 거품이 잘 날까 싶었는데 거품도 잘 나고 향이 좋네요 머릿결도 부드럽게 세정되는데 근데 기존에 쓰던 샴푸보다 머리에 기름이 넘넘 많이 돌아요 아침에 감음오후됨 머리가 떡이지는데 저만 그런가요 두피지성이 아닌데도 좀 심각하게 떡이지 네요,4,y,154
엄마랑 같이 사용하려고 구매했어요 한 병이 제막 쓰기 시작해서 사실 탈모 효과가 있다 없다 할 수가 없네 욤그래도 유튜브에 후기가 좋아서 보고 구매했고 기대해보려 구 욤향은 좋아요은은하니 지속력도 꽤 되는 거 같아 요세정력은 머리 감았을 때 시원하다라는 느낌은 좀 부족하긴 한 거 같아요,4,y,163
다른 탈모케어 샴푸 쓰다가 갈아탔어요 일단 향이나 거품 세정력 등은 괜찮은데 제일 중요한 탈모방지 효과가 글쎄요 이전에 쓰던 거보다 더 빠지는 듯한 아직 삼사일 정도밖에 안 써봤으니까 좋아지리라 기대하며 한 달 사용 후기로 올릴게요,4,y,133
원래 쓰던 상품이고 이번에 싼 가격에 판매해 주셔서 구입했습니다 새벽에 주문하고 당일 출발했으나 한진택배의 고질적 문제와 우리 동네 택배기사 때문에 기분이 더럽긴 하지만 판매자님의 문제는 아니니 잘 쓰겠습니다 싸게 판매해 주셔서 감사합니다,4,y,138
탈모는 없지만 미리미리 관리해야 한다는 말에 또 마침 샴푸가 떨어져서 구매했습니다 신기하게도 어느 날 헤어라인 쪽 잔머리가 마구 마구자라 있는 것을 확인할 수 있었습니다 머리카락도전에 비해 훨씬 많이 안 빠집니다 단점이라면 이걸 쓰고 난 이후로 두피 트러블이나 더군 요 머리카락 지키기에 효과는 좋지만 제 두피에는 잘 맞진 않아 아쉽습니다,4,y,189
아빠가 요새 머리가 많이 빠진다는 말에 한번 구매해봤어요 탈모샴푸로 검색하니 종류가 너무나 많은 것일 단가성 비대비 후기 좋은 걸로 고르긴 했는데 오늘 아침에 사용하신 것 같은데 아직 별 말씀 없으시네요 계속 사용해봐야 알 것 같고 샘플도 좀 있어서 좋네요 단지 배송이 대한통운은 대부분 바로 다음날 받는데 출고는 주문 당일에 됬으나 일만에 받았네요 또 받은 당일에 지연 문자가 오고 출고 관리에는 좀 신경 쓰셔야 될 것 같에요,4,y,243
저는 자극 없었어요 순하다고 느낌 향도 좋고 제형도 특이하네요 아직 탈모에 효과가 잇는지는 모르겟 구요다만 세정력이 좋아서 담 날까지 떡 안진다 그런 건 모르겠어 요 세정력 자체는 좋은 편이고 기름기를 쫙 빼다 보니 머릿결은 손빗질 안 될 정도로 푸석해져요 그렇다고 그날 저녁에 안떡지는 건 또 아니네요 다른 거에 비해 덜 떡지긴 하지만 기름을 억제하는 그런 건 없나 봐 요오후부터 정수리 냄새랑떡이 살살질라고 각 잡아요정 수리 냄새를 잡아주고 덜 떡지게 해주는 혀과는 없고 그냥 세정 력 좋고 향 좋아요 탈모에 혀과 있으몀 재구매하거잘 모르겟으면 다른 거사려 구요,4,y,291
아직 잘 모르겠어서점을 찍었지만 한 달 사용 후기는 제대로 된 상품평을 올리겠습니다스무 살 밖에 안 된 남자 정수리가 휑해서 영양제도 먹기 시작했고 샴푸도 바꿨으니 효과가 있으리라 기개해 봅니다 한 달 뒤 효과 보여드릴게요,4,n,130
배송이 오래 걸렸어요 사용한 지주 넘었고 머리감아도 기름지고 각질 때문에 스트레스 엄청받아서 이것저것 써 보다 솔직히 별 기대 안 하고 사긴 했는데 지금 정말 만족하며 쓰고 있어 요 기름기 각질 가려움 만족스럽게 효과 보고 있고 탈모케어는 아직은 잘 모르겠어요 좀 더 써봐야 알 것 같아요무엇보다 파마머린 데샴푸만 해도 머리카락 걸림없이 손빗질 잘 되네요 재구매하겠습니다,4,y,212
남편 탈모샴푸로 이것저것 사서 쓰다가 이게 제일 좋다고 해서 재구매합니다 특히 다향이 거부감이 없어서 저도 한 번씩 같이 사용합니다 탈모샴푸는 거품이 많이 안 나는데 이건 깔끔하기도 하고 거품도 적당히 나서 씻고 나면 개운합니다,4,y,125
어머니가 머리가 요즘 자주 빠지셔서 구입했어요 번밖에 사용을 안 해서 탈모 예방이 바로 되진 않겠지만 꾸준히 사용해보려고 해요일 단 어머니는 한번 쓰시고 서 머리가 평소 같이 부스스하고 날리는 느낌이 없다고 하세요 탈모에도 부디 효과가 있기를,4,y,128
아직 몇 번 안 써봤는데 자극은 적고 향도 나쁘지 않은 거 같습니다,4,y,33
알페신 쓰다가 갈아탔는데 일단 개털 같은 머릿결이 개선되어서 아주 만족합니다 머리감으면 두피가 은은하게 시원하고 상쾌한 게 정말 마음에 듭니다 무엇보다 하루 안감으면 바로 떡졌었는데 이거 쓰고 이틀 갑니다 최곱니다 탈모는 잘 모르겠고 향이 좋긴 한데 저는 꽃향보단 상쾌한 허브향을 선호해서 취향 미스입니다,4,y,169
그냥 탈모가 심해서 꾸준히 쓰고는 있는 대예전에 비해 빠지는 게 덜하긴 함,4,y,39
대아들이 요샴푸를 원해서 구입했구요 작은 양으로도 거품이 잘 나 구 요닥터포 제 품 종류별로 사용해 볼 계획입니다,4,y,61
좋아요 근데펌핑기 빼면 원래 요렇게 세어 있나요 불량인 지원래 그런 건지 모르겠어요 그렇담물이 샴푸통으로 다 들어가는 건 아닌지,4,y,74
가격은 상당히 비싸지만 머릿결과 두피에 잘 맞는 것 같습니다 한 달 이상 써보고 평가 남길게 요용량이 개당 두 달은 쓸 수 있을 듯,4,y,70
꾸준히 사용하는 제품입니다 두피 자극도 없고 머리결도 좋아지고 모탈도 굵어지고 저는 항상 만족합니다 세일할 때 구매할 수 있어서 너무 좋네요 배송도 빠르고 굿굿,4,y,87
예전에 닥터지 제품 만족해서 이번에 샴푸 구매했어요 탈모 효과는 오래 써봐야 알 수 있겠지만 거품이나 세정력은 좋아 요 배송 늦었다고 샘플도 많이 챙겨주셨네요 나눠 쓸 거라서 좋은 가격에 잘 구매했어요,4,y,110
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,4,y,24
세정력도 좋고 머리도 덜 빠져요다만 향기가 좀 진합니 다 냄새에 좀 민감한 편이라서 감을 때마다 좀 신랑은 괜찮다는데 저는 좀 암튼 다른 거다 마음에 드는데 향기 하나 걸리네요 그래도 잘 사용 중입니다,4,y,120
한번 써봤어요 거품 잘나요 향은 보통 머리 덜 빠지면 만점 드리려고 다시 리뷰 쓸께 요샴푸 용기가 고급스럽고 의료적인 느낌나서 기대감 생겨요 그런데 뚜껑 부분 마감이 덜 돼서 조금 실망,4,y,101
조아요조아요조아요조아요조이요조아요조아요조아요조아요조아요조아요조아요조아요조이요조아요조아요조아요조아요조아요조아요조아요조아요조이요조아요조아요조아요조아요조아요조아요조아요조아요조이요조아요조아요조아요조아요조아요조아요조아요조아요조이요조아요조아요조아요조아요조아요조아요조아요조아요조이요조아요조아요조아요조아요,4,y,173
구매해 금일인 받았습니다 별개 드린 이유는 발송 자체는 일발송한 걸 알고 있고 늦게 온 이유도 택배 파업 때문이란 걸 알기 떄문입니다 아쉬운 건 저와 같이 택배 이슈건으로 걸려 반송환 불 요청이 많았을 텐데 확인 및 기타 택배사 송부 등으로 바꾸는 등 발송 이후 건에 대한 대응이 미흡하기 때문입니 다 문제의 시발은 택배 파업이긴 한데 사후 대응이 안타깝네요,4,y,209
여기가 가격비교 중 가장 저렴해서 여기서 구입개 사면 무료 배송 쿠팡보다 쌌음배송 일정도로 빠른 편제품도 뽁뽁이 감싸져서 깨끗하게 잘 도착샴푸는 남편 머리카락 가늘고 두피가 헐빈해져 서년 정도 계속 탈모완화 샴푸 광고하는 거다 써봤는데 드라마틱한 효과 있는 제품은 없습니다 큰 기대 마시고 일반 샴푸 쓰는 것보단 낫겠지 하는 마음으로 쓰시면 될 듯합니다,4,y,193
샘플만 써보다가 라이브 방송 보면서 할인가에 주문했어요 탈모가 심해서 샴푸 유목민인데요 샴푸 괜찮은 거 같아서 꾸준히 사용해보려고요,4,y,72
라보에이치 처음 나왔을 때 써보고 이번에 구성이 괜찮아서 다시 구매했어요 성분도 좋고 세정력도 좋아요 머리 감고 나면 좀 묵직한 느낌도 들고 괜찮은 거 같은데 엄청뻣뻣해 요 트리트먼트 안 하면 말리기 힘들어요,4,y,110
하얀색으로 보통의 샴푸보다 살짝 묽은 제형입니 다 약간의 민트나 멘톨 같은 시원한 향이 나지만 두피까지 시원하거나 그런 건 아닙니다 거품이나 씻김정도는 일반 샴푸와 거의 비슷하고 샴푸 후에 머리카락뻣뻣함은 없습니다,4,y,121
민트향인지박하향인지감은 후화한 게 있어 요샴푸 시감을 때 빠지는 개수는 조근덜한 데드라이시 빠지는 양은 같은 거 같아요 그리고 유산균 때문인지 되직한 느낌에 거품이 잘 안 나물으 계속 묻혀가며 써야 해요 그 점만 바꿔주면 좋겠어요,4,y,132
전에 써보고 머리카락 빠지는 게 천삼화 샴푸보다 더 빠져서 천삼화로 갈아탔었어요 근데 거기에 소듐그 성분 때문에 여기에 다른 비타탈모 라인 썻어요 계속 이번에요 라인으로 에센스 랑 써보려고 다시 재구매했는데 좋았으면 좋겠어요,4,y,131
머리 속이 시원해서 좋았습니다 세정력도 좋고요 두피가 깨끗해졌습니다 머리카락도 건강해졌고요 탈모 예방이라 그런지 초반 사용 때에는 두피가 모근을 너무 꽉 잡아서 반대로 머릿결을 넘기면 좀 당기는 느낌 아프지만 아프지 않은 느낌이 들더라고 요 지금은 그런 느낌 없이 잘 쓰고 있답니다,4,y,165
머리숱이 적고 잘 빠져 걱정하는 엄마 때문에 구매했어요 엄마가 쓰고 많이 만족하시더라구요 평소보다 머리가 덜 빠지는 것 같다고 하세요 머리카락으로 화장실 배수망청수하는 횟수가 덜하다고 하세요 앞으로 꾸준히 더 써보려고 요거품이 안 나는 건 아닌데 일반 샴푸보다는 쫌덜한 편이에요,4,y,156
오늘 처음 써보았지만 두피가 싸한 느낌은 있습니다 일단은 여러 번 써봐야 제대로 된 효능을 느낄 수 있으니 써보고 좋으면 더 큰 용량으로 구매하려고 합니다 제 딸을 싸한 느낌이 맞지 않는 거 같아 딸하고 같이 쓰진 못할 듯합니다,4,y,125
지루성 두피염이 좀 있어서 유튜브에서 추천한 제품들 위주로 구입해보고 있어요 이전에 구매한 제품이 거의 다 떨어져 갈 때쯤 주문한 거라 아직 사용은 못해봤고 세정력 자극 이런 거는 모르겠어요 다만 토요일 저녁에 주문했는데 일요일에 발송되었고 월요일 시쯤 배송 완료되었다고 문자가 온 거보니 엄청 빠르게 와서 만족입니다,4,y,179
음탈모샴푸라서 통을 다 쓴 다음에 후기를 쓰는 게 찐이겠지요 다만 향이 민트향처럼 화하고 두피에도 화한 감을 준답니다 처음에서 놀랬지만 몇 번 써보니 시원한 느낌이 들더라구요 또 거품이 잘 나서 양을 적게 써도 풍성하게 사용 가능해요 한 달 후기로 꼭 탈모 증상이 완화되었는지 적겠습니다,4,y,164
티에스쓰다가 유튜버 추천으로 넘어오게 되었어 요우선 티에스는 머리가 거의 안 빠졌는데 이건 빗고 머리감을 때 좀 빠지긴 하네요 그런데도 좋은 건 머리가 부드러워져 요티에스는 빳빳해서 단점인데 그래서 한 번 더 써볼까 합니다,4,y,127
정수리 부분 머리카락이 가늘어져 비어 보여 항상 신경 써서 샴푸 사용을 했는데 후기도 좋구 바꿀 때가 된 듯해 검색하다 구입해 봤는데 좋기를 바래봅니다 일단 두 번 써봤는데 세정력은 좋아요머릿속이 시원하고 그런 건 못 느끼겠지만 향도 나쁘지 않아서 계속 써보려구요 배송은 빨랐어요,4,y,148
숱은 많지만 머리가 많이 빠져 새싹머리카락이 사자가 되는 딸아이 샴푸랑숱 없는 제샴푸를 통일시키고 싶어 밤 낮 써치하다 발견한 샴푸예요일 단향은 제 취향은 아님 거품이 쫀쫀해 샴푸해둔 상태로 얼굴 세안 샤워 가능하네요 시간 두고 헹궈서 그런지 세정력도 좋고 린스패스 해도 부드러워 요딸 아이서너 번 쓰고부터는 부스스했던 새로 나는 머리들이 차분해지고 정수리 냄새도 잡아주는 것 같아 만족스럽습니다가 장 중요한 탈모는 한 달 사용 후기로,4,y,226
평소에 다른 약산성 푸를 쓰는데 번갈아가면서 쓰려고 다른 스칼프 샴푸를 사 봤어요 기존 꺼 조단 덜 씻기는 느낌이에요 미끄덩하고 다음날 기름도 금방 지는 것 같아요 그리고 두피가 다음날 다른 샴푸로 감기 전까지 가랴웠는데 요즘 두피가 계속 안젛았어서 그거 때문인지 이샴푸 때문인지는 정확히 모르겠어요 좀 더 써봐야 할 듯,4,y,172
확실히 이전에 쓰던 제품들보다는 머리를 감을 때 덜 빠지는 느낌 있습니다 좀 더 사용해야만 정확하겠지만 세정력도 좋고 일단 많이 만족합니다향수 샴푸니노란 샴푸니다 써봤지만 그런 샴푸들은 광고만 요란할 뿐 솔직히 어떤 효과도 못 느꼈는데 라보에이치는 기대해 볼려 구요,4,y,148
좋아요 머리 빠짐이 줄었다란 극적인 효과는 없지만 그렇다고 더 빠진다는 것도 아니고 그냥 일반 샴푸로 보면 덜 자극적인 느낌에 머릿결이 차분해지는 효과가 있습니다 마치 모발이 굵어져 머리가 풍성해진 듯한 연출이 됩니다 그런데 다른 샴푸로 감아보면 부시시 하고 숱 없어 보이는 게 머리 결 자체가 달라졌다기보단 이샴푸를 쓰면 나아진 듯한 효과가 크고 실제 개선되는 효과도 미미하지만 분명 있는 듯합니다,4,y,223
배송 빨랐어요 근데 박스가 너무 찌그러져서 와서 별 하나 뺏어요 아직 써보진 않았는데 효과가 좋았으면 하네요 저희 남편 쓰려고 샀어요 저는 임산부라 안 쓰고 미니샴프는 조리원 가서 남편 씻을 때 쓰려고 생각 중이에요,4,y,121
신랑은 지루성으로 저는 탈모로 여러 샴푸를 전전하다 이 제품을 사용하게 되었는데 눈에 띄게 효과는 아니지만 전보단 덜한 거 같긴 하네요 저는 이 제품도 쓰면서 두피 관리를 같이 하니 확연히 머리카락 빠짐이 덜해졌어요 재구매 의사 있어요,4,y,121
머리감을 때 엄청 빠져서 구매했구요 한 달 넘게 사용했는데 우선 머리가 확실히 요즘 덜 빠져요 근데 이게 이샴푸 때문인지는 모르겟습니다 따로 노력한 게 없으니 이샴푸 때문이 겟죠 그리고 전에 두피 가려움도 있었는데 요즘은 덜 간지러워요 그리고 저는 효과를 보고 싶어서 사용법적혀 있는 대로 샴푸질하고 분방치시켰어요 참고하세요,4,y,191
